Commit_Author_Login,Commit_Date,Lines_Added,Lines_Deleted
codal-jsojitra,2020-05-12 12:39:45,51,19
codal-jsojitra,2020-05-12 10:50:54,1,1
codal-jsojitra,2020-05-12 10:45:11,62,24
codal-jsojitra,2020-05-12 08:09:48,57,54
codal-jsojitra,2020-05-12 06:51:57,58,17
codal-jsojitra,2020-05-12 05:34:47,75,48
codal-jsojitra,2020-05-11 13:36:35,8,3
codal-jsojitra,2020-05-11 13:31:12,65,14
codal-jsojitra,2020-05-11 11:39:06,33,18
codal-jsojitra,2020-05-11 11:33:12,272,87
codal-jsojitra,2020-05-11 09:51:50,5,6
codal-jsojitra,2020-05-11 09:08:12,12,14
codal-jsojitra,2020-05-11 09:04:39,13,7
codal-jsojitra,2020-05-11 08:30:54,125,53
codal-jsojitra,2020-05-11 05:00:47,116,66
codal-jsojitra,2020-05-10 09:05:40,11,7
codal-jsojitra,2020-05-10 08:18:42,1,1
codal-jsojitra,2020-05-10 07:00:34,12,7
codal-jsojitra,2020-05-10 06:44:04,1,2
codal-jsojitra,2020-05-10 06:43:30,1,1
codal-jsojitra,2020-05-10 06:39:36,13,7
codal-jsojitra,2020-05-09 12:00:48,1,1
codal-jsojitra,2020-05-09 11:59:25,1,1
codal-jsojitra,2020-05-09 11:57:09,2,4
codal-jsojitra,2020-05-09 11:56:01,82,34
codal-jsojitra,2020-05-09 11:55:16,18,22
codal-jsojitra,2020-05-09 11:12:16,82,34
codal-jsojitra,2020-05-09 11:02:34,107,99
codal-jsojitra,2020-05-09 05:59:56,17,19
codal-jsojitra,2020-05-09 05:07:35,2,2
codal-jsojitra,2020-05-09 05:03:31,2,1
codal-jsojitra,2020-05-09 04:54:15,17,14
codal-jsojitra,2020-05-08 16:27:18,34,19
codal-jsojitra,2020-05-08 15:05:15,3,3
codal-jsojitra,2020-05-08 14:48:26,10,11
codal-jsojitra,2020-05-08 14:46:51,15,12
codal-jsojitra,2020-05-08 13:22:36,10,10
codal-jsojitra,2020-05-08 12:38:13,5,5
codal-jsojitra,2020-05-08 12:11:13,10,10
codal-jsojitra,2020-05-08 11:51:13,14,5
codal-jsojitra,2020-05-08 11:15:36,8,8
codal-jsojitra,2020-05-08 10:34:22,68,14
codal-jsojitra,2020-05-08 07:08:47,23,15
codal-jsojitra,2020-05-08 06:00:37,328,48
codal-jsojitra,2020-05-07 12:03:42,168,98
codal-jsojitra,2020-05-06 11:23:46,3,3
codal-jsojitra,2020-05-06 10:50:39,24,13
codal-jsojitra,2020-05-06 08:17:30,4,3
codal-jsojitra,2020-05-06 05:38:09,12,6
codal-jsojitra,2020-05-05 14:16:04,1,1
codal-jsojitra,2020-05-05 14:06:39,16,11
codal-jsojitra,2020-05-05 12:32:01,4,5
codal-jsojitra,2020-05-05 11:52:43,46,16
codal-jsojitra,2020-05-05 09:41:02,2,3
codal-jsojitra,2020-05-05 09:38:41,3,3
codal-jsojitra,2020-05-05 08:47:22,2,3
codal-jsojitra,2020-05-05 07:38:22,10,10
codal-jsojitra,2020-05-05 07:18:16,24,15
codal-jsojitra,2020-05-05 05:52:12,33,10
codal-jsojitra,2020-05-04 13:41:36,9,3
codal-jsojitra,2020-05-04 13:32:51,1,1
codal-jsojitra,2020-05-04 13:32:29,2,26
codal-jsojitra,2020-05-04 13:27:05,27,19
codal-jsojitra,2020-05-04 12:47:07,155,71
codal-jsojitra,2020-05-04 10:12:46,13,18
codal-jsojitra,2020-05-04 09:47:53,6,3
codal-jsojitra,2020-05-04 09:23:46,8,5
codal-jsojitra,2020-05-04 08:59:15,39,40
codal-jsojitra,2020-05-04 07:08:05,11,7
codal-jsojitra,2020-05-04 06:20:53,12,4
codal-jsojitra,2020-05-04 06:03:44,11,3
codal-jsojitra,2020-05-04 05:42:27,17,6
codal-jsojitra,2020-05-04 04:53:27,2,1
codal-jsojitra,2020-05-01 06:47:00,1,1
codal-jsojitra,2020-05-01 05:43:06,10,12
codal-jsojitra,2020-05-01 05:24:43,1,0
codal-jsojitra,2020-05-01 05:02:23,20,13
codal-jsojitra,2020-05-01 04:50:18,3,3
codal-jsojitra,2020-04-30 14:31:02,6,2
codal-jsojitra,2020-04-27 12:20:32,2,2
codal-jsojitra,2020-04-27 11:34:57,4,9
codal-jsojitra,2020-04-27 09:05:12,1,1
codal-jsojitra,2020-04-27 08:44:44,32,10
codal-jsojitra,2020-04-27 08:18:36,6,1
codal-jsojitra,2020-04-27 08:16:00,29,7
codal-jsojitra,2020-04-27 05:58:12,29,12
codal-jsojitra,2020-04-24 05:06:43,15,5
codal-jsojitra,2020-04-23 13:00:28,1,1
codal-jsojitra,2020-04-23 11:03:25,9,6
codal-jsojitra,2020-04-23 08:26:44,21,6
codal-jsojitra,2020-04-23 07:15:26,208,100
codal-jsojitra,2020-04-22 13:41:02,394,201
codal-jsojitra,2020-04-22 08:20:16,11,5
codal-jsojitra,2020-04-22 06:59:40,4,4
codal-jsojitra,2020-04-22 06:21:14,70,33
codal-jsojitra,2020-04-21 11:47:21,9,9
codal-jsojitra,2020-04-21 06:16:38,37,52
codal-jsojitra,2020-04-21 06:15:20,42,57
codal-jsojitra,2020-04-21 05:00:05,15,192
codal-jsojitra,2020-04-20 13:09:52,1,0
codal-jsojitra,2020-04-20 13:08:42,20,17
codal-jsojitra,2020-04-20 12:53:52,232,15
codal-jsojitra,2020-04-20 09:15:07,111,43
codal-jsojitra,2020-04-20 06:10:44,139,10
codal-jsojitra,2020-04-20 05:16:32,13,13
codal-jsojitra,2020-04-17 14:08:56,122,58
codal-jsojitra,2020-04-17 08:31:25,73,7
codal-jsojitra,2020-04-17 06:27:04,86,6
codal-jsojitra,2020-04-17 05:47:54,40,35
codal-jsojitra,2020-04-16 13:43:14,203,78
codal-jsojitra,2020-04-16 10:23:00,19,8
codal-jsojitra,2020-04-16 10:13:58,11,2
codal-jsojitra,2020-04-16 10:02:17,194,83
codal-jsojitra,2020-04-15 11:51:14,714,100
codal-jsojitra,2020-04-15 04:53:20,14,5
codal-jsojitra,2020-04-14 12:48:16,48,4
codal-jsojitra,2020-04-14 10:53:58,14,15
codal-jsojitra,2020-04-14 09:53:30,1,1
codal-jsojitra,2020-04-14 09:52:47,47,17
codal-jsojitra,2020-04-14 09:49:26,129,7
codal-jsojitra,2020-04-14 09:21:07,377,29
codal-jsojitra,2020-04-14 05:45:55,251,51
codal-jsojitra,2020-04-13 08:46:46,126,135
codal-jsojitra,2020-04-13 05:40:20,20,13
codal-jsojitra,2020-04-13 05:14:14,252,94
codal-jsojitra,2020-04-10 12:46:07,192,58
codal-jsojitra,2020-04-10 10:17:41,10,6
codal-jsojitra,2020-04-10 10:14:40,84,25
codal-jsojitra,2020-04-10 06:12:42,8,28
codal-jsojitra,2020-04-10 06:01:14,10,7
codal-jsojitra,2020-04-09 11:36:14,61,50
codal-jsojitra,2020-04-09 10:36:08,4,2
codal-jsojitra,2020-04-09 10:28:49,107,86
codal-jsojitra,2020-04-09 07:58:19,33,8
codal-jsojitra,2020-04-09 07:52:36,11,7
codal-jsojitra,2020-04-09 07:42:51,28,18
codal-jsojitra,2020-04-09 07:32:43,294,260
codal-jsojitra,2020-04-09 04:20:26,197,2
codal-jsojitra,2020-04-08 12:50:17,42,50
codal-jsojitra,2020-04-08 12:34:26,86,55
codal-jsojitra,2020-04-08 09:06:20,52,9
codal-jsojitra,2020-04-08 07:34:51,14,11
codal-jsojitra,2020-04-07 13:33:05,55,40
codal-jsojitra,2020-04-07 10:26:27,2,0
codal-jsojitra,2020-04-07 10:18:51,22,10
codal-jsojitra,2020-04-07 07:13:24,28,11
codal-jsojitra,2020-04-07 06:55:29,27,9
codal-jsojitra,2020-04-06 13:34:46,36,26
codal-jsojitra,2020-04-06 12:27:04,115,96
codal-jsojitra,2020-04-06 10:12:29,6,8
codal-jsojitra,2020-04-06 09:21:24,44,28
codal-jsojitra,2020-04-06 07:31:34,39,36
codal-jsojitra,2020-04-06 06:06:23,118,55
codal-jsojitra,2020-04-03 09:56:28,91,62
codal-jsojitra,2020-04-03 06:59:34,0,12
codal-jsojitra,2020-04-03 06:58:14,0,30
codal-jsojitra,2020-04-03 06:55:19,1,1
codal-jsojitra,2020-04-03 06:51:52,354,12
codal-jsojitra,2020-04-02 12:20:51,3,3
codal-jsojitra,2020-04-02 12:12:17,95,11
codal-jsojitra,2020-04-02 10:02:54,47,37
codal-jsojitra,2020-04-02 08:44:29,10,51
codal-jsojitra,2020-04-02 08:35:25,105,42
codal-jsojitra,2020-04-01 11:51:02,1,1
codal-jsojitra,2020-04-01 11:45:23,35,133
codal-jsojitra,2020-04-01 09:27:35,197,477
codal-jsojitra,2020-04-01 06:52:20,41,38
codal-jsojitra,2020-04-01 06:17:36,16,14
codal-jsojitra,2020-04-01 06:06:48,53,31
codal-jsojitra,2020-03-31 11:14:05,12,3
codal-jsojitra,2020-03-31 08:48:53,7,4
codal-jsojitra,2020-03-31 08:24:37,46,24
codal-jsojitra,2020-03-31 06:03:58,177,121
codal-jsojitra,2020-03-30 06:26:09,19,12
